sp_taxon_1;sp_taxon_2;value
Stephanophorus diadematus;Struthanthus sp1 M_SD_022;1
Stephanophorus diadematus;Ilex brevicuspis;1
Stephanophorus diadematus;Ilex microdonta;1
Stephanophorus diadematus;Vassobia breviflora;1
Stephanophorus diadematus;Solanum variabile;1
Stephanophorus diadematus;Myrsine gardneriana;1
Stephanophorus diadematus;Solanum inodorum;1
Stephanophorus diadematus;Ocotea teleiandra;1
Stephanophorus diadematus;Psychotria leiocarpa;1
Stephanophorus diadematus;Solanum megalochiton;1
Stephanophorus diadematus;Cordia corymbosa;1
Stephanophorus diadematus;Myrsine umbellata;1
Stephanophorus diadematus;Aureliana fasciculata;1
Stephanophorus diadematus;Drimys winterii;1
Tityra cayana;Myrsine coriacea;1
Tityra cayana;Coussapoa microcarpa;1
Tityra cayana;Cecropia glaziovi;1
Tityra cayana;Cupania vernalis;1
Tityra cayana;Trema micrantha;1
Tityra cayana;Euterpe edulis;1
Tityra cayana;Myrcia fallax;1
Tityra cayana;Alchornea triplinervia;1
Tityra cayana;Xylopia brasiliensis;1
Tityra cayana;Allophylus edulis;1
Tityra cayana;Nectandra membranacea;1
Tityra cayana;Virola bicuhyba;1
Tityra cayana;Sapium glandulatum;1
Tityra cayana;Tetrorchidium rubrivenium;1
Tityra cayana;Matayba guianensis;1
Tityra cayana;Ocotea puberula;1
Tityra cayana;Hieronyma alchorneoides;1
Tityra cayana;Miconia inconspicua;1
Tityra cayana;Heteropsis sp1 M_SD_022;1
Lipaugus lanioides;Myrsine coriacea;1
Lipaugus lanioides;Ficus luschnatiana;1
Lipaugus lanioides;Coussapoa microcarpa;1
Lipaugus lanioides;Myrsine lancifolia;1
Lipaugus lanioides;Cecropia glaziovi;1
Lipaugus lanioides;Cupania vernalis;1
Lipaugus lanioides;Miconia budlejoides;1
Lipaugus lanioides;Miconia valtherii;1
Lipaugus lanioides;Leandra dasytricha;1
Lipaugus lanioides;Euterpe edulis;1
Lipaugus lanioides;Xylopia brasiliensis;1
Lipaugus lanioides;Miconia racemifera;1
Lipaugus lanioides;Gomidesia schaueriana;1
Lipaugus lanioides;Virola bicuhyba;1
Lipaugus lanioides;Amaioua intermedia;1
Lipaugus lanioides;Didymopanax angustissimum;1
Lipaugus lanioides;Miconia sp1 M_SD_022;1
Lipaugus lanioides;Solanum swartzianum;1
Sturnira lilium;Cecropia glaziovi;1
Sturnira lilium;Vassobia breviflora;1
Sturnira lilium;Piper sp1 M_SD_022;1
Sturnira lilium;Solanum variabile;1
Sturnira lilium;Ficus sp1 M_SD_022;1
Sturnira lilium;Solanum scuticum;1
Sturnira lilium;Solanum sp1 M_SD_022;1
Sturnira lilium;Solanum megalochiton;1
Sturnira lilium;Solanum sp2 M_SD_022;1
Sturnira lilium;Solanum paraense;1
Sturnira lilium;Solanum rufescens;1
Sturnira lilium;Solanum subsylvestris;1
Sturnira lilium;Solanum swartzianum;1
Sturnira lilium;Passiflora sp1 M_SD_022;1
