REARING_NUMBER;taxon;name;value
2001SZ2727Hscapr;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2005SZ42Hleuco;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
199406A-E1Hischn;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2003SZ11Hpruss;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2004SZ12Heryth;Adelognathus pusillus;Endo/Ecto;Ectoparasitism
2001SZ4545Hnudip;Adelognathus trochanteratus;Endo/Ecto;Ectoparasitism
2001SZ3030Htuber;Adelognathus trochanteratus;Endo/Ecto;Ectoparasitism
2001SZ1717Hnudip;Adelognathus trochanteratus;Endo/Ecto;Ectoparasitism
198705A-7V1Oelaea;Aprostocetus tymber;Endo/Ecto;Endoparasitism
199901Y-V1Ovesic;Apanteles xanthostigma;Endo/Ecto;Ectoparasitism
200023A-OOproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198362A-V1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198646A-47V1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
199125A-K1Enigri;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198649A-H1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198667A-V1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
199923H-POkriec;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198632A-V1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198564A-65H1Oproxi;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198360Y-T1Obridg;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198570M-ZObella;Bracon breviusculus;Endo/Ecto;Ectoparasitism
198571K1-V1Ogalla;Bracon breviusculus;Endo/Ecto;Ectoparasitism
199734A-O1Oproxi;Bracon conjugellae;Endo/Ecto;Ectoparasitism
199945G1-46OOproxi;Bracon conjugellae;Endo/Ecto;Ectoparasitism
199901Y-V1Ovesic;Bracon conjugellae;Endo/Ecto;Ectoparasitism
200025E1-F1Ovimin;Bracon conjugellae;Endo/Ecto;Ectoparasitism
199944A-V1Oproxi;Bracon conjugellae;Endo/Ecto;Ectoparasitism
199944A-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198361O-V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198254A-55V1Oproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
200023A-OOproxi;Bracon discoideus;Endo/Ecto;Ectoparasitism
198278A-J1Obridg;Bracon discoideus;Endo/Ecto;Ectoparasitism
