"original_name";"name_clear"
"Notostira elongata";"Notostira elongata"
"Orthops basalis";"Orthops basalis"
"Polymerus unifasciatus";"Polymerus unifasciatus"
"Stenodema calcaratum";"Stenodema calcaratum"
"Stenodema laevigata";"Stenodema laevigata"
"Trigonotylus caelestialium";"Trigonotylus caelestialium"
"Graphosoma lineatum";"Graphosoma lineatum"
"Holcostethus strictus";"Holcostethus strictus"
"Corizus hyoscyami";"Corizus hyoscyami"
"Rhopalus parumpunctatus";"Rhopalus parumpunctatus"
"Stictopleurus abutilon";"Stictopleurus abutilon"
"Stictopleurus unctatonervosus";"Stictopleurus unctatonervosus"
"Eurygaster maura";"Eurygaster maura"
"Asiorestia ferruginea";"Asiorestia ferruginea"
"Cassida sanguinosa";"Cassida sanguinosa"
"Cassida vibex";"Cassida vibex"
"Chaetocnema concinna";"Chaetocnema concinna"
"Chaetocnema hortensis";"Chaetocnema hortensis"
"Chaetocnema laevicollis";"Chaetocnema laevicollis"
"Chrysolina haemoptera";"Chrysolina haemoptera"
"Chrysolina oricalcia";"Chrysolina oricalcia"
"Chrysolina staphylaea";"Chrysolina staphylaea"
"Chrysolina sturmi";"Chrysolina sturmi"
"Epithrix pubescens";"Epithrix pubescens"
"Gastrophysa viridula";"Gastrophysa viridula"
"Longitarsus atricillus";"Longitarsus atricillus"
"Longitarsus luridus";"Longitarsus luridus"
"Longitarsus lycopi";"Longitarsus lycopi"
"Longitarsus melanocephalus";"Longitarsus melanocephalus"
"Longitarsus noricus";"Longitarsus noricus"
"Longitarsus reichei";"Longitarsus reichei"
"Longitarsus succineus";"Longitarsus succineus"
"Phyllotreta atra";"Phyllotreta atra"
"Cassida panzeri";"Cassida panzeri"
"Cassida rubiginosa";"Cassida rubiginosa"
"Oulema (Lema) duftschmidi";"Oulema duftschmidi"
"Oulema (Lema) gallaeciana";"Oulema gallaeciana"
"Timarcha (Chrysomela) goettingensis";"Timarcha goettingensis"
"Aphthona pallida";"Aphthona pallida"
"Longitarsus parvulus";"Longitarsus parvulus"
"Longitarsus pratensis";"Longitarsus pratensis"
"Odontothrips phaleratus";"Odontothrips phaleratus"
